frame_count,fps,model_time,num_faces,image_width,image_height,image_channels
232,15.016902806796839,0.06558465957641602,0,640,480,3
233,15.02426382289146,0.05394315719604492,0,640,480,3
234,15.031411356653654,0.05411052703857422,0,640,480,3
235,15.034566441251204,0.057891130447387695,0,640,480,3
236,15.04174348697882,0.0539097785949707,0,640,480,3
237,15.048884961775107,0.05389714241027832,0,640,480,3
238,15.055937698757978,0.054001569747924805,0,640,480,3
239,15.061571430166218,0.05537223815917969,0,640,480,3
240,15.048634529879367,0.07508277893066406,0,640,480,3
241,15.039203071092642,0.07135534286499023,0,640,480,3
242,15.038605769815575,0.06192588806152344,0,640,480,3
243,15.045981083516384,0.05349540710449219,0,640,480,3
244,15.050794396530545,0.05593395233154297,1,640,480,3
245,15.055363454975774,0.056354522705078125,1,640,480,3
246,15.062323231355922,0.05383563041687012,1,640,480,3
247,15.067210138938783,0.055674076080322266,1,640,480,3
248,15.069366749776638,0.05897665023803711,1,640,480,3
249,15.060502143015501,0.0705561637878418,1,640,480,3
250,15.066767596874305,0.05472373962402344,1,640,480,3
251,15.071665500373939,0.05620288848876953,1,640,480,3
252,15.077155225266518,0.0555570125579834,1,640,480,3
253,15.08002381235347,0.05841422080993652,1,640,480,3
254,15.067480086087262,0.07554268836975098,1,640,480,3
255,15.05921069249664,0.07024121284484863,1,640,480,3
256,15.063451162474491,0.05682849884033203,1,640,480,3
257,15.06882854821449,0.055547237396240234,1,640,480,3
258,15.073743468315252,0.05542707443237305,1,640,480,3
259,15.078188070289324,0.05621767044067383,1,640,480,3
260,15.081315150697117,0.057949066162109375,1,640,480,3
261,15.085556594166846,0.05658841133117676,1,640,480,3
262,15.081183149765454,0.06650400161743164,1,640,480,3
263,15.086398946812297,0.055362701416015625,1,640,480,3
264,15.091044032702579,0.05577492713928223,1,640,480,3
265,15.095784004401297,0.056120872497558594,1,640,480,3
266,15.100070268995626,0.056514739990234375,0,640,480,3
267,15.105095708929223,0.05557990074157715,0,640,480,3
268,15.110649600258704,0.05495309829711914,0,640,480,3
269,15.11554148589762,0.05561709403991699,0,640,480,3
270,15.118614609524373,0.0577998161315918,0,640,480,3
271,15.124135087353249,0.05485200881958008,0,640,480,3
272,15.1169568638754,0.06981778144836426,0,640,480,3
273,15.115891787193345,0.06265497207641602,0,640,480,3
274,15.120885464143274,0.0553891658782959,0,640,480,3
275,15.126148984686498,0.055037736892700195,0,640,480,3
276,15.117968162713057,0.07123398780822754,0,640,480,3
277,15.123134665724844,0.055155277252197266,0,640,480,3
278,15.129053435760678,0.0540013313293457,0,640,480,3
279,15.13447750063825,0.054738521575927734,0,640,480,3
280,15.14003823281304,0.054340362548828125,0,640,480,3
281,15.13704956001651,0.06494832038879395,0,640,480,3
282,15.133565465307083,0.06559062004089355,0,640,480,3
283,15.138565464765533,0.05513906478881836,0,640,480,3
284,15.143660394972658,0.05448102951049805,0,640,480,3
285,15.149351521832411,0.0536503791809082,0,640,480,3
286,15.15463852639679,0.05466818809509277,0,640,480,3
287,15.15937973905645,0.055289506912231445,0,640,480,3
288,15.151695779885651,0.0708310604095459,0,640,480,3
289,15.14510241381416,0.06880807876586914,0,640,480,3
290,15.149354540743014,0.05594801902770996,1,640,480,3
291,15.146969812947077,0.0642247200012207,1,640,480,3
292,15.142525412300586,0.06670117378234863,1,640,480,3
293,15.140666802796575,0.06354427337646484,1,640,480,3
294,15.146156679498198,0.05410885810852051,1,640,480,3
295,15.151711058710593,0.05419015884399414,1,640,480,3
296,15.15645995473989,0.05512642860412598,1,640,480,3
297,15.161190152689342,0.055121421813964844,1,640,480,3
298,15.163585216351544,0.05795764923095703,1,640,480,3
299,15.168936920628271,0.05417585372924805,1,640,480,3
300,15.175083127969394,0.053183794021606445,1,640,480,3
301,15.179602842683499,0.05505561828613281,1,640,480,3
302,15.18483322305063,0.05399465560913086,1,640,480,3
303,15.190266862651278,0.05383729934692383,1,640,480,3
304,15.191188554030973,0.059789419174194336,1,640,480,3
305,15.193504653394324,0.0579681396484375,1,640,480,3
306,15.191020656893564,0.06423306465148926,1,640,480,3
307,15.1896989068937,0.06291389465332031,1,640,480,3
308,15.194634975433326,0.05446887016296387,1,640,480,3
309,15.200339829718514,0.05313277244567871,1,640,480,3
310,15.206012122504932,0.05337166786193848,1,640,480,3
311,15.210876971011144,0.05423998832702637,1,640,480,3
312,15.216160093813443,0.053853750228881836,1,640,480,3
313,15.221605641363157,0.053611040115356445,1,640,480,3
314,15.226254227214202,0.05427432060241699,1,640,480,3
315,15.231831862706686,0.05331540107727051,1,640,480,3
316,15.23772334950022,0.05283045768737793,1,640,480,3
317,15.242439478397293,0.05441546440124512,1,640,480,3
318,15.246458871830649,0.05535292625427246,1,640,480,3
319,15.250027044067314,0.0558931827545166,1,640,480,3
320,15.255207391019635,0.05375170707702637,1,640,480,3
321,15.257895770733446,0.0568389892578125,1,640,480,3
322,15.257421755048187,0.06138753890991211,1,640,480,3
323,15.260578165140911,0.05626320838928223,1,640,480,3
324,15.267248895227574,0.050675153732299805,1,640,480,3
325,15.274034448006228,0.051540374755859375,1,640,480,3
326,15.280740804126513,0.05161738395690918,1,640,480,3
327,15.288000040930372,0.04976820945739746,1,640,480,3
328,15.294147548135182,0.0523531436920166,1,640,480,3
329,15.30027734459163,0.05234336853027344,1,640,480,3
330,15.306911962937491,0.05057048797607422,1,640,480,3
331,15.313965909615616,0.05093979835510254,1,640,480,3
332,15.320427216808147,0.05067634582519531,1,640,480,3
333,15.327089584354258,0.05130195617675781,1,640,480,3
334,15.333421071872486,0.050719261169433594,1,640,480,3
335,15.339191437059256,0.052546024322509766,1,640,480,3
336,15.344815973582397,0.0526881217956543,0,640,480,3
337,15.351870532642987,0.04966926574707031,0,640,480,3
338,15.357793974422497,0.0521848201751709,0,640,480,3
339,15.36494462221178,0.0504302978515625,0,640,480,3
340,15.371822861647269,0.04970359802246094,0,640,480,3
341,15.378358481361987,0.05132341384887695,0,640,480,3
342,15.384770804177796,0.05074286460876465,0,640,480,3
343,15.390276086746033,0.05223846435546875,0,640,480,3
344,15.395760332995767,0.052196502685546875,0,640,480,3
345,15.400963082982646,0.05257463455200195,0,640,480,3
346,15.404497375274829,0.054285526275634766,0,640,480,3
347,15.409692885563162,0.05258488655090332,0,640,480,3
348,15.405367330891373,0.0662996768951416,0,640,480,3
349,15.41042520652252,0.0527949333190918,0,640,480,3
350,15.412275792653931,0.05387997627258301,0,640,480,3
351,15.407620740372348,0.06701993942260742,0,640,480,3
352,15.412735461935618,0.05252528190612793,0,640,480,3
353,15.417675583585257,0.05278730392456055,0,640,480,3
354,15.417203506684125,0.060697317123413086,0,640,480,3
355,15.414671740629322,0.06381106376647949,0,640,480,3
356,15.419945150982475,0.052109479904174805,0,640,480,3
357,15.425333546041632,0.05190610885620117,1,640,480,3
358,15.430688755392776,0.051961660385131836,1,640,480,3
359,15.424841358237392,0.06865596771240234,1,640,480,3
360,15.426499000957712,0.0575718879699707,1,640,480,3
361,15.426902552790786,0.05937981605529785,1,640,480,3
362,15.431616393309898,0.05259585380554199,1,640,480,3
363,15.431730320264085,0.05975461006164551,1,640,480,3
364,15.435783172556253,0.05385160446166992,1,640,480,3
365,15.439499055071018,0.05413317680358887,1,640,480,3
366,15.43811538960851,0.062009334564208984,1,640,480,3
367,15.434422426456408,0.06559228897094727,0,640,480,3
